image,time,weather,locations
/imagenet-val/ILSVRC2012_val_00012658.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00023300.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00012183.JPEG,day,sunny,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00047678.JPEG,day,sunny,"[0, 1, 0, 1, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00014467.JPEG,day,sunny,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00039280.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00002282.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00028277.JPEG,day,sunny,"[1, 1, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00045796.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00026011.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00010064.JPEG,day,none,"[1, 1, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00006881.JPEG,day,sunny,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00009780.JPEG,day,cloudy,"[0, 0, 0, 0, 0, 1, 1, 0, 0]"
/imagenet-val/ILSVRC2012_val_00047349.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00018776.JPEG,day,sunny,"[1, 1, 0, 0, 1, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00011825.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00025907.JPEG,day,sunny,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00045091.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00002535.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00006725.JPEG,day,sunny,"[1, 1, 0, 1, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00012710.JPEG,day,foggy,"[1, 1, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00003197.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00047702.JPEG,day,sunny,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
/imagenet-val/ILSVRC2012_val_00033023.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00008979.JPEG,day,sunny,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00036846.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00021476.JPEG,day,none,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00018178.JPEG,day,sunny,"[1, 1, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00031440.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00045560.JPEG,day,sunny,"[0, 1, 0, 0, 1, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00045996.JPEG,day,none,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00040758.JPEG,day,none,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00000380.JPEG,day,sunny,"[1, 1, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00002932.JPEG,day,none,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00008425.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00016988.JPEG,day,sunny,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00032615.JPEG,day,partly cloudy,"[1, 1, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00034971.JPEG,night,none,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00005691.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00002884.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00031505.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00000636.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00044636.JPEG,day,sunny,"[1, 0, 0, 1, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00029654.JPEG,day,sunny,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00013820.JPEG,day,none,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00046180.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00011517.JPEG,night,none,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00006880.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00009450.JPEG,day,sunny,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00031164.JPEG,day,none,"[0, 1, 0, 1, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00012387.JPEG,day,none,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00006434.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00036173.JPEG,day,none,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00039774.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00038947.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00009129.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00024728.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00013400.JPEG,day,none,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00036193.JPEG,day,partly cloudy,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00044784.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00014568.JPEG,day,sunny,"[0, 1, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00019529.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00010279.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00022098.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00006381.JPEG,day,partly cloudy,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00027831.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00026920.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004343.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004733.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00048943.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00000074.JPEG,night,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00011070.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00035724.JPEG,day,sunny,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00021443.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00030560.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00039099.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00039792.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00030468.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00025738.JPEG,day,partly cloudy,"[1, 1, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00037042.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00007807.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00012508.JPEG,day,none,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00003544.JPEG,day,sunny,"[1, 1, 0, 0, 0, 1, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00037788.JPEG,day,cloudy,"[1, 1, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00012502.JPEG,day,none,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00036735.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00012609.JPEG,day,none,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00009435.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00012638.JPEG,day,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00003561.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00015145.JPEG,day,raining,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00016034.JPEG,day,sunny,"[1, 0, 0, 0, 1, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00002001.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00036679.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00022880.JPEG,day,sunny,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00027453.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00049436.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00006516.JPEG,day,none,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00016141.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00002444.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00007022.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00003622.JPEG,day,none,"[0, 1, 0, 0, 1, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00028649.JPEG,day,partly cloudy,"[1, 1, 0, 0, 0, 0, 1, 0, 0]"
/imagenet-val/ILSVRC2012_val_00042064.JPEG,day,sunny,"[1, 1, 0, 0, 1, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00022816.JPEG,night,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00007378.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00037351.JPEG,day,cloudy,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00009705.JPEG,night,none,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00006740.JPEG,none,none,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00013243.JPEG,day,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00017869.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00000617.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00033751.JPEG,day,none,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00028532.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00033686.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00021070.JPEG,none,none,"[0, 0, 1, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004369.JPEG,day,sunny,"[1, 1, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00033977.JPEG,day,none,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00048900.JPEG,day,sunny,"[0, 1, 1, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00029123.JPEG,day,sunny,"[1, 1, 0, 0, 1, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00019358.JPEG,day,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00049458.JPEG,day,sunny,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00007299.JPEG,day,sunny,"[1, 1, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00048821.JPEG,day,sunny,"[0, 0, 1, 1, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00012362.JPEG,day,sunny,"[0, 1, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00031577.JPEG,day,none,"[1, 1, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00000433.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00047415.JPEG,night,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00020194.JPEG,day,sunny,"[1, 1, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00016894.JPEG,day,sunny,"[1, 1, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00042611.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00000672.JPEG,day,sunny,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00021512.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00022788.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00038854.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00008427.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004110.JPEG,day,none,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00045789.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00015053.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00032727.JPEG,day,none,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00006473.JPEG,day,partly cloudy,"[0, 0, 1, 1, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00021475.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004433.JPEG,day,partly cloudy,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00025542.JPEG,day,none,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00031199.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004782.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00048497.JPEG,day,partly cloudy,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00031004.JPEG,none,none,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00009015.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00002477.JPEG,day,partly cloudy,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00000135.JPEG,day,sunny,"[0, 0, 0, 0, 0, 1, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00017182.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00009128.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00037623.JPEG,day,sunny,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00002777.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00019487.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00009112.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00029415.JPEG,day,none,"[0, 0, 0, 1, 1, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00032954.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00048234.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00019863.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00047706.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00032415.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00024732.JPEG,day,none,"[1, 1, 0, 0, 1, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00019031.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00044025.JPEG,day,sunny,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
/imagenet-val/ILSVRC2012_val_00015684.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00035501.JPEG,day,partly cloudy,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00026170.JPEG,day,none,"[0, 0, 0, 1, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00028140.JPEG,day,sunny,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00030201.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00009685.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00022908.JPEG,day,sunny,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00037211.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00026429.JPEG,night,none,"[1, 1, 1, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004717.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00014611.JPEG,day,cloudy,"[1, 0, 0, 0, 0, 1, 1, 0, 0]"
/imagenet-val/ILSVRC2012_val_00018861.JPEG,day,cloudy,"[0, 1, 0, 1, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00047424.JPEG,day,none,"[0, 1, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00029588.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00037095.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00031491.JPEG,day,sunny,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00007761.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00022822.JPEG,day,sunny,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00032541.JPEG,day,sunny,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00006946.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00040287.JPEG,day,sunny,"[1, 1, 0, 1, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00010685.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00025464.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00008055.JPEG,none,none,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00011371.JPEG,day,sunny,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
/imagenet-val/ILSVRC2012_val_00018733.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00016751.JPEG,none,none,"[0, 0, 1, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00021501.JPEG,day,sunny,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00040948.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00015255.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00023083.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00049625.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00007713.JPEG,day,partly cloudy,"[1, 0, 0, 1, 1, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00008383.JPEG,day,sunny,"[0, 0, 0, 0, 0, 1, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00013900.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
